X,Y,OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,NAICSDESCR
-82.2563148718557,36.5852859628637,22,10485365,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,423-844-1121,1 MEDICAL PARK BOULEVARD, ,BRISTOL,TN,37620,7430,SULLIVAN,47163,SOUTHWEST CORNER OF MEDICAL PARK BLVD AND TN 1,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-87.0040128448106,35.1892046769027,23,10485302,HILLSIDE HOSPITAL,931-363-7531,1265 EAST COLLEGE STREET, ,PULASKI,TN,38478,4541,GILES,47055,"ON THE S SIDE OF E COLLEGE ST, 0.5 MILE E OF THE INTERSECTION OF IVY LN AND E COLLEGE ST","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-82.8457112007306,36.151215888992,24,10485304,TAKOMA REGIONAL HOSPITAL,423-639-3151,401 TAKOMA AVENUE, ,GREENEVILLE,TN,37743,4647,GREENE,47059,ON THE E CORNER OF SHEPHARD DR AND COOLIDGE ST,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-82.7899816849664,36.1735676611913,25,10485303,LAUGHLIN MEMORIAL HOSPITAL INCORPORATED,423-787-5000,1420 TUSCULUM BOULEVARD, ,GREENEVILLE,TN,37745,4279,GREENE,47059,EAST SIDE OF THE INTERSECTION OF TUSCULUM BLVD AND OLD TUSCULUM RD,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-83.3054726701642,36.2127023832505,26,10485332,MORRISTOWN-HAMBLEN HEALTHCARE SYSTEM,423-586-4231,908 WEST 4TH NORTH STREET, ,MORRISTOWN,TN,37814,3894,HAMBLEN,47063,"ON THE NE SIDE OF N HIGH ST, ACROSS FROM THE T-INTERSECTION OF W 5TH NORTH ST AND N HIGH ST","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-83.3036580289653,36.2145834375826,27,10485331,LAKEWAY REGIONAL HOSPITAL,423-522-6000,726 MCFARLAND STREET, ,MORRISTOWN,TN,37814,3989,HAMBLEN,47063,ON THE E SIDE OF MCFARLAND ST BETWEEN W 7TH NORTH ST AND W 5TH NORTH ST,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-88.1221399948857,35.6360667990501,28,10485283,DECATUR COUNTY GENERAL HOSPITAL,731-847-3031,969 TENNESSEE AVENUE SOUTH, ,PARSONS,TN,38363,3700,DECATUR,47039,LOCATED IN THE SE CORNER OF KENTUCKY AVE AND TENNESSEE AVE S INTERSECTION,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-85.2675819299708,35.0348712095681,29,10485325,PARKRIDGE MEDICAL CENTER,423-698-6061,2333 MCCALLIE AVENUE, ,CHATTANOOGA,TN,37404,3258,HAMILTON,47065,ON THE NORTHEAST SIDE OF MCCALLIE AVE BETWEEN N LYERLY ST AND DERBY STREET,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-89.8642444877927,35.0984077524591,30,10485373,SELECT SPECIALTY HOSPITAL - MEMPHIS,901-765-1245,5959 PARK AVENUE,12TH FLOOR,MEMPHIS,TN,38119,5200,SHELBY,47157,ON THE S SIDE OF PARK AVE BETWEEN CHAMBERLAIN DR AND PRIMACY PKY,"HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)"
-85.3355171657252,35.0259341978012,31,10483985,MOCCASIN BEND MENTAL HEALTH INSTITUTE,423-265-2271,100 MOCCASIN BEND ROAD, ,CHATTANOOGA,TN,37405,4415,HAMILTON,47065,"ON THE S END OF MOCCASIN BEND RD, 1.8 MILES S OF THE INTERSECTION OF HAMM RD AND MOCCASIN BEND RD","HOSPITALS, MENTAL (EXCEPT MENTAL RETARDATION)"
-85.2602497601638,35.041514332326,32,10485330,MEMORIAL HOSPITAL,423-495-2525,2525 DESALES AVENUE, ,CHATTANOOGA,TN,37404,1161,HAMILTON,47065,ON THE NW CORNER OF DESALES AVE AND GLENWOOD DR,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-85.266624089057,35.0323932014608,33,10485327,HEALTHSOUTH CHATTANOOGA REHABILITATION HOSPITAL,423-698-0221,2412 MCCALLIE AVENUE, ,CHATTANOOGA,TN,37404,3398,HAMILTON,47065,"ON THE S SIDE OF MCCALLIE AVE, S OF THE INTERSECTION OF DERBY ST AND MCCALLIE AVE","REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)"
-88.3985429198809,35.6552094979692,34,10485320,HENDERSON COUNTY COMMUNITY HOSPITAL,731-968-3646,200 WEST CHURCH STREET, ,LEXINGTON,TN,38351,2014,HENDERSON,47077,LOCATED IN THE NW CORNER OF W CHURCH ST AND HOSPITAL DR,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-88.3102528205205,36.2964807044991,35,10485319,HENRY COUNTY MEDICAL CENTER,731-642-1220,301 TYSON AVENUE, ,PARIS,TN,38242,4544,HENRY,47079,LOCATED IN THE NE CORNER OF TYSON AVE AND HOSPITAL CIRCLE,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-87.4588744966632,35.7794767242009,36,10485318,HICKMAN COMMUNITY HOSPITAL,931-729-4271,135 EAST SWAN STREET, ,CENTERVILLE,TN,37033,1417,HICKMAN,47081,LOCATED ON THE EAST SIDE OF CHURCH ST AND E SWAN ST INTERSECTION,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-87.6895997460268,36.3201826225657,37,10485305,TRINITY HOSPITAL,931-289-4211,5001 EAST MAIN STREET, ,ERIN,TN,37061, ,HOUSTON,47083,"LOCATED ON THE NORTH SIDE OF E MAIN ST, DIRECTLY ACROSS FROM E FRONT ST","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-87.7912719757185,36.0746880143589,38,10485289,THREE RIVERS HOSPITAL,931-296-4203,451 STATE HIGHWAY 13 SOUTH, ,WAVERLY,TN,37185, ,HUMPHREYS,47085,LOCATED IN THE EAST CORNER OF TN-13 AND POTTER LN INTERSECTION,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-81.7976506517403,36.4535472654401,39,10485290,JOHNSON COUNTY COMMUNITY HOSPITAL,423-727-1100,1901 SOUTH SHADY STREET, ,MOUNTAIN CITY,TN,37683,2021,JOHNSON,47091,"LOCATED ON THE NE SIDE OF SOUTH SHADY ST, APPX .3 MI SE OF BROWNS RIDGE LN","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-85.3076988825572,35.0476668038705,40,10485328,KINDRED HOSPITAL - CHATTANOOGA,423-266-7721,709 WALNUT STREET, ,CHATTANOOGA,TN,37402,1916,HAMILTON,47065,ON THE NW CORNER OF E 8TH ST AND GEORGIA AVE,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-87.3383654760379,35.2219716432135,41,10485246,CROCKETT HOSPITAL,931-762-6571,1607 SOUTH LOCUST AVENUE, ,LAWRENCEBURG,TN,38464,4011,LAWRENCE,47099,LOCATED ON THE WEST SIDE OF LOCUST AVE APPROXIMATELY .1 MI SOUTH OF INTERSECTION OF PROSSER RD AND LOCUST AVE,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-85.3020383329682,35.1235479580459,42,10485245,ERLANGER HEALTH SYSTEM - NORTH CAMPUS,423-778-3300,632 MORRISON SPRINGS ROAD, ,CHATTANOOGA,TN,37415,3416,HAMILTON,47065,ON THE SW CORNER OF PUBLIC RD AND MORRISON SPRINGS RD,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-86.0262903977291,36.5193801021272,43,10485338,MACON COUNTY GENERAL HOSPITAL,615-666-2147,204 MEDICAL DRIVE, ,LAFAYETTE,TN,37083,1719,MACON,47111,LOCATED ON THE NORTHWEST SIDE OF MEDICAL DR AND RED BOILING SPRINGS RD,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-88.8539811360797,35.6844250559753,44,10485337,REGIONAL HOSPITAL OF JACKSON,731-661-2000,367 HOSPITAL BOULEVARD, ,JACKSON,TN,38305,2080,MADISON,47113,"LOCATED ON THE NORTHWEST SIDE OF HOSPITAL BLVD, APPROXIMATELY .1 MI WEST OF INTERSECTION OF PHYSICIANS DR AND HOSPITAL BLVD","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-83.5393521422582,35.8548204642159,45,10485342,FORT SANDERS SEVIER MEDICAL CENTER,865-429-6100,709 MIDDLE CREEK ROAD, ,SEVIERVILLE,TN,37862,5047,SEVIER,47155,"ON THE SW SIDE OF MIDDLE CREEK RD, 0.2 MILE NW OF THE INTERSECTION OF MILLWOOD DR AND MIDDLE CREEK RD","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-88.8335792001599,35.6367641018753,46,10483992,PATHWAYS BEHAVIORAL HEALTH SERVICES,731-541-8200,238 SUMMAR DRIVE, ,JACKSON,TN,38301,3906,MADISON,47113,LOCATED ON THE EAST SIDE OF SUMMAR DR LESS THAN .1 MI NORTH OF INTERSECTION OF W FOREST AVE AND SUMMAR DR,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)"
-85.6295954648096,35.0472784028738,47,10485247,GRANDVIEW MEDICAL CENTER,423-837-9500,1000 STATE HIGHWAY 28, ,JASPER,TN,37347, ,MARION,47115,LOCATED ON THE SOUTHEAST CORNER OF ST HWY 28 AND I-24,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-86.7496228193801,36.2451852519335,48,10485273,SKYLINE MEDICAL CENTER,615-769-2000,3441 DICKERSON PIKE, ,NASHVILLE,TN,37207,2539,DAVIDSON,47037,LOCATED ON THE EAST SIDE OF DICKERSON PIKE LESS THAN .1 MI NORTH OF INTERSECTION OF DOVERSIDE DR AND DICKERSON PIKE,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-86.8442274067459,36.1293516743384,49,10483978,SAINT THOMAS HOSPITAL,615-222-2111,4220 HARDING ROAD, ,NASHVILLE,TN,37205,2005,DAVIDSON,47037,LOCATED ON THE NORTH SIDE OF HARDING RD APPROXIMATELY .2 MI SOUTHWEST OF INTERSECTION OF VINE CT AND HARDING RD,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-86.7214367593676,36.0764115263572,50,10485271,SOUTHERN HILLS MEDICAL CENTER,615-781-4000,391 WALLACE ROAD, ,NASHVILLE,TN,37211,4851,DAVIDSON,47037,LOCATED ON THE SOUTHEAST CORNER OF NOLENSVILLE PIKE AND WALLACE RD,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-88.4893502153061,36.1374591775457,51,10485226,MCKENZIE REGIONAL HOSPITAL,731-352-5344,161 HOSPITAL DRIVE, ,MC KENZIE,TN,38201,1636,CARROLL,47017,"ON THE E SIDE OF HOSPITAL DR, 0.2 MILE S OF THE INTERSECTION OF HIGHLAND DR AND HOSPITAL DR","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-82.2498045726663,36.3459695090399,52,10485262,SYCAMORE SHOALS HOSPITAL,423-542-1300,1501 WEST ELK AVENUE, ,ELIZABETHTON,TN,37643,2874,CARTER,47019,"ON THE NW SIDE OF W ELK AVE, LESS THAN 0.1 MILE NE OF THE INTERSECTION OF FRANKLIN CLUB DR AND W ELK AVE","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-87.0656548983978,36.2771274832862,53,10485263,CENTENNIAL MEDICAL CENTER AT ASHLAND CITY,615-792-3030,313 NORTH MAIN STREET, ,ASHLAND CITY,TN,37015,1319,CHEATHAM,47021,ON THE NE SIDE OF N MAIN ST BETWEEN JEFFERSON ST AND RUTH DR,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-85.500685274563,36.5442022121162,54,10485265,CUMBERLAND RIVER HOSPITAL,931-243-3581,100 OLD JEFFERSON STREET, ,CELINA,TN,38551,4040,CLAY,47027,ON THE NE SIDE OF OLD JEFFERSON ST NE OF THE INTERSECTION OF BUTLER AVE AND OLD JEFFERSON ST,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-83.1821205976268,35.9642678517598,55,10485266,BAPTIST HOSPITAL OF COCKE COUNTY,423-625-2200,435 SECOND STREET, ,NEWPORT,TN,37821,3703,COCKE,47029,ON THE S CORNER OF COLLEGE ST AND 2ND ST,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-86.0783741645092,35.4969694890538,56,10485269,MEDICAL CENTER OF MANCHESTER,931-728-6354,481 INTERSTATE DRIVE, ,MANCHESTER,TN,37355,3108,COFFEE,47031,"ON THE S SIDE OF INTERSTATE DR, SW OF THE INTERSECTION OF SUBSTATION DR AND INTERSTATE DR","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-86.2310179838165,35.3821320284173,57,10485268,HARTON REGIONAL MEDICAL CENTER,931-393-3000,1801 NORTH JACKSON STREET, ,TULLAHOMA,TN,37388,2201,COFFEE,47031,"ON THE SW SIDE OF N JACKSON ST, 0.1 MILE S OF THE INTERSECTION OF N WASHINGTON ST AND N JACKSON ST","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-85.0220968518796,35.9432610183533,58,10485270,CUMBERLAND MEDICAL CENTER,931-484-9511,421 SOUTH MAIN STREET, ,CROSSVILLE,TN,38555,5048,CUMBERLAND,47035,LOCATED ON THE SOUTHEAST CORNER OF S MAIN ST AND CLEVELAND ST,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-86.6818208955261,36.2539618714151,59,10485275,SKYLINE MADISON CAMPUS,615-865-0300,500 HOSPITAL DRIVE, ,MADISON,TN,37115,5031,DAVIDSON,47037,LOCATED ON THE NORTHEAST CORNER OF HOSPITAL DR AND ACADEMY RD,"HOSPITALS, ADDICTION"
-86.7496270857638,36.1829783045022,60,10485287,NASHVILLE REHABILITATION HOSPITAL,615-226-4330,1034 WEST EASTLAND AVENUE, ,NASHVILLE,TN,37206,3534,DAVIDSON,47037,LOCATED ON THE SOUTHWEST CORNER OF W EASTLAND AVE AND GALLATIN AVE,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)"
-88.4122022023759,36.0232367038898,61,10485261,BAPTIST MEMORIAL HOSPITAL - HUNTINGTON,731-986-4461,631 ROBERT BURTON WILSON DRIVE, ,HUNTINGDON,TN,38344, ,CARROLL,47017,"ON THE E SIDE OF RB WILSON DR, 0.1 MILE S OF THE INTERSECTION OF VETERENS DR N AND RB WILSON DR","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-83.958664617721,35.7565442408815,62,10485235,BLOUNT MEMORIAL HOSPITAL,865-983-7211,907 EAST LAMAR ALEXANDER PARKWAY, ,MARYVILLE,TN,37804,5015,BLOUNT,47009,"LOCATED ON THE NORTH SIDE OF E LAMAR ALEANDER PKWY, BETWEEN ALEXANDER ST AND CHEROKEE ST","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-84.2447168400133,36.0246017758048,63,10485254,METHODIST MEDICAL CENTER,865-835-1000,990 OAK RIDGE TURNPIKE, ,OAK RIDGE,TN,37830,6976,ANDERSON,47001,"LOCATED ON THE NW SIDE OF OAK RIDGE TURNPIKE, BETWEEN TENNYSON RD AND TYNDALE RD","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-86.0718230891596,35.8326390182131,64,10485241,STONES RIVER HOSPITAL,615-563-4001,324 DOOLITTLE ROAD, ,WOODBURY,TN,37190,1139,CANNON,47015,ON THE E SIDE OF DOOLITTLE RD BETWEEN ALEXANDER DR AND NEW ST,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-88.1079094612392,36.0552774388836,65,10485256,CAMDEN GENERAL HOSPITAL,731-584-6135,175 HOSPITAL DRIVE, ,CAMDEN,TN,38320,1617,BENTON,47005,LOCATED ON THE SOUTH SIDE OF HOSPITAL DR. APPX .2 MI EAST OF INDUSTRIAL RD,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-84.0227520978777,35.8703021292737,66,10483977,PENINSULA HOSPITAL,865-970-9800,2347 JONES BEND ROAD, ,LOUISVILLE,TN,37777,5213,BLOUNT,47009,"LOCATED ON THE SOUTH SIDE OF JONES BEND RD, BETWEEN W LAKEVIEW CIRCLE AND DEER RUN DR.","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-86.4726521379986,35.4939364130948,67,10485255,BEDFORD COUNTY MEDICAL CENTER,931-685-5433,845 UNION STREET, ,SHELBYVILLE,TN,37160,2607,BEDFORD,47003,LOCATED IN THE SW CORNER OF T-INTERSECTION OF VINE ST AND UNION ST,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-84.2430394218663,36.0258693261383,68,10483991,RIDGEVIEW PSYCHIATRIC HOSPITAL,865-482-1076,240 WEST TYRONE ROAD, ,OAK RIDGE,TN,37830,6517,ANDERSON,47001,"LOCATED ON THE NW SIDE OF W TYRONE RD, DIRECTLY ACROSS FROM TYNDALE RD","HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)"
-84.1285016719872,36.5737526803441,69,10485259,JELLICO COMMUNITY HOSPITAL,423-784-7252,188 HOSPITAL LANE, ,JELLICO,TN,37762,4400,CAMPBELL,47013,LOCATED IN THE NW CORNER OF HEALTH CARE WAY AND HOSPITAL LANE INTERSECTION.,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-84.1115343665072,36.388901769454,70,10485260,SAINT MARYS MEDICAL CENTER OF CAMPBELL COUNTY,423-907-1200,923 EAST CENTRAL AVENUE, ,LAFOLLETTE,TN,37766,2768,CAMPBELL,47013,"LOCATED ON THE NORTH SIDE OF E CENTRAL AVE, BETWEEN NORTH AVE AND E BEECH STREET","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-83.5723853402653,36.4528060109486,71,10485264,CLAIBORNE COUNTY HOSPITAL,423-626-4211,1850 OLD KNOXVILLE ROAD, ,TAZEWELL,TN,37879,3625,CLAIBORNE,47025,"ON THE SW SIDE OF OLD KNOXVILLE RD, S OF THE INTERSECTION OF HAYNES ST AND OLD KNOXVILLE RD","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-83.2150567812699,36.5333707110454,72,10485239,WELLMONT HANCOCK COUNTY HOSPITAL,423-733-5000,1519 MAIN STREET, ,SNEEDVILLE,TN,37869, ,HANCOCK,47067,"LOCATED ON THE NW SIDE OF MAIN ST, LESS THAN .1 MI SW OF JARVIS ST","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-85.8295261004677,35.9614543039053,73,10485370,DEKALB COMMUNITY HOSPITAL,615-215-5000,520 WEST MAIN STREET, ,SMITHVILLE,TN,37166,1138,DE KALB,47041,"LOCATED ON THE NORTH SIDE OF WEST MAIN ST, BETWEEN ELM ST AND RILEY AVE","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-88.9993284293094,35.2676065291029,74,10485323,BOLIVAR GENERAL HOSPITAL,731-658-3100,650 NUCKOLLS ROAD, ,BOLIVAR,TN,38008,1532,HARDEMAN,47069,LOCATED IN THE SE CORNER OF NUCKOLLS RD AND D GALLOWAY LOOP,"HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-88.2302488027428,35.2279740799645,75,10485231,HARDIN MEDICAL CENTER,731-926-8000,935 WAYNE ROAD, ,SAVANNAH,TN,38372, ,HARDIN,47071,"LOCATED ON THE NORTH SIDE OF WAYNE RD, BETWEEN BELMONT ST NORTH AND HARRISON ST N","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
-83.0144123537172,36.399744994986,76,10485322,WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL,423-921-7000,851 LOCUST STREET, ,ROGERSVILLE,TN,37857,2407,HAWKINS,47073,"LOCATED ON THE NW SIDE OF LOCUST ST, BETWEEN GRAY ST AND SCENIC DR","HOSPITALS, GENERAL MEDICAL AND SURGICAL"
